timestep,demand,raw_core_demand,active_vm_count
848,0.9272566441488912,105203.30366594349,844890
849,0.9257889788830218,105036.7874855316,843411
850,0.9263689296037054,105102.58667086434,843708
851,0.9258806624434422,105047.18958241487,843203
852,0.9249491253531198,104941.50063426046,842277
853,0.9256431703032488,105020.24455279368,842458
854,0.9244741051106318,104887.60649488354,841010
855,0.9234705901620679,104773.75119006232,841146
856,0.9237867813215673,104809.62513583472,842121
857,0.9247130017272255,104914.71087149692,842182
858,0.9226763100008463,104683.6349341971,839335
859,0.9218904597807515,104594.47511004026,838219
860,0.9226190542505056,104677.13889652758,838903
861,0.9223404731171991,104645.53205310642,837881
862,0.9203359457961373,104418.10537701298,836257
863,0.9196179430912007,104336.64329520741,836049
864,0.9192212763164299,104291.63886690406,836061
865,0.9177896521473538,104129.2117835877,833890
866,0.9166314992033608,103997.81179133385,832609
867,0.9151958076112308,103834.92323238894,831225
868,0.9165374122248644,103987.13701102116,832116
869,0.9159565016387197,103921.22892270215,831019
870,0.9143714733275259,103741.397140645,829571
871,0.9135930896206911,103653.08444103212,828316
872,0.9142705114028888,103729.94235292973,830480
873,0.9136892635322125,103663.99599748456,829493
874,0.9139396440075378,103692.40329264269,828377
875,0.9133757895288115,103628.43033076297,828262
876,0.914280030547817,103731.0223619012,829483
877,0.913980728493343,103697.06459505923,828749
878,0.913898271008341,103687.70925650335,828220
879,0.9135946707041448,103653.26382524442,828032
880,0.9138183609972922,103678.64294545412,828530
881,0.9128923338296296,103573.5791339007,827564
882,0.9122356612323833,103499.0753521342,827296
883,0.9120396940949251,103476.84160444347,826971
884,0.9121639392246329,103490.93802337143,827448
885,0.9115735842234551,103423.95840467415,825938
886,0.9106659416928832,103320.98044990141,825286
887,0.909545945456721,103193.90958459007,824681
888,0.9110772577327642,103367.64693271318,827192
889,0.9124129283489874,103519.1874607028,827190
890,0.9118558717880136,103455.98576685351,826424
891,0.9110766904027481,103367.58256542897,825626
892,0.9097895873892053,103221.55234818811,825646
893,0.9088085507654582,103110.24735567418,823935
894,0.908311282919443,103053.82908082248,822592
895,0.9102788903047534,103277.06694981847,823811
896,0.9131434549367724,103602.07045856079,826562
897,0.9129628757308599,103581.58257189505,825670
898,0.9117207040199858,103440.65010349061,824551
899,0.910651716343553,103319.36649139837,823807
900,0.9110975122310263,103369.94493741848,824083
901,0.9098451287726604,103227.85387977218,822898
902,0.9081112662600855,103031.13588850577,820007
903,0.9066041276047304,102860.14119504466,819107
904,0.9105288763689005,103305.4294964604,823083
905,0.9097991615413815,103222.63859809,822434
906,0.9082689878710822,103049.03043220202,820912
907,0.9099609895840077,103240.99904319168,821123
908,0.9119872767386732,103470.89451408619,822591
909,0.9113048620952652,103393.47012957565,821917
910,0.9105355896472346,103306.1911615977,821142
911,0.9092037801265109,103155.08870003218,820743
912,0.9099884025769125,103244.1092257233,822351
913,0.9089609571129404,103127.53884811694,821299
914,0.9079519782918406,103013.06363138111,820509
915,0.9084400698976296,103068.44080203245,820634
916,0.9081681507704198,103037.58980657942,818708
917,0.907923190325191,103009.79744912566,818244
918,0.9075015562380742,102961.96031667397,817809
919,0.906712228698726,102872.40596800693,817406
920,0.9073194813015741,102941.30272963435,819510
921,0.9068254694472232,102885.2538682368,818420
922,0.9058762979198641,102777.56417838241,817550
923,0.9053675129204756,102719.83920749208,817585
924,0.9075393127986242,102966.24404430212,819465
